idade,renda_mensal,valor_emprestimo,historico_atraso,score_credito,tempo_emprego_anos,emprestimos_anteriores,inadimplente
65,5991.36,7984.69,0,858,23,5,0
42,5300.84,20185.77,0,660,20,6,0
39,5729.92,11407.51,0,787,17,2,0
30,9806.83,13399.8,0,651,14,4,0
36,4884.76,8039.55,1,555,5,2,1
66,5402.2,1000.0,0,521,24,1,0
53,7101.31,13662.81,0,300,28,0,0
29,7211.05,31888.31,0,845,18,5,0
58,7374.06,20492.23,0,745,0,7,0
36,6277.46,14865.18,0,378,0,4,0
29,2713.99,13159.76,0,535,12,5,0
26,8266.86,15157.26,0,633,2,2,0
24,2707.31,18829.83,0,648,9,3,0
45,5605.27,6734.31,0,397,20,1,0
31,3491.45,22800.25,0,381,2,0,1
48,4871.72,20007.67,0,801,8,1,0
69,5657.52,20027.3,1,776,7,3,1
36,5642.71,18069.33,1,849,2,0,0
64,5843.84,15137.32,1,313,24,3,1
33,8227.42,19710.03,0,691,12,1,0
22,5907.07,19142.7,1,646,5,2,1
52,4511.69,12521.72,0,609,12,6,0
29,6928.17,10984.79,0,685,22,1,0
42,7378.94,15712.99,0,508,19,1,0
69,2544.78,25843.14,0,656,19,1,0
38,6194.8,6326.25,0,867,11,4,0
53,6402.35,4727.32,0,393,12,3,0
40,4404.87,16153.33,0,392,1,7,1
33,7751.41,15356.21,0,639,20,3,0
56,4699.89,16213.39,0,896,23,5,0
62,5251.15,16707.67,0,744,22,3,0
59,4653.86,13437.58,0,321,15,5,0
56,5031.16,25429.04,1,590,22,4,1
31,2807.45,3793.67,1,784,5,2,0
48,2119.9,9200.52,0,605,18,5,0
22,8189.01,14277.22,0,427,20,1,0
52,3306.08,3497.68,0,572,12,2,0
40,3017.22,13769.02,1,741,16,6,1
46,1000.0,26630.29,0,802,22,4,0
60,3722.08,15146.21,0,429,8,3,1
28,2353.82,16614.91,0,431,16,5,1
35,8284.03,6178.85,0,896,28,7,0
64,7019.63,10685.47,0,781,1,1,0
29,3623.7,12373.63,1,689,18,0,1
26,9504.87,12775.99,0,892,18,6,0
27,6963.53,23971.51,0,624,23,0,0
61,4350.34,18903.84,1,368,6,2,1
34,1000.0,7219.79,1,747,21,3,1
55,9581.89,16725.53,0,827,9,7,0
24,2220.86,18487.55,0,464,9,0,1
63,1709.2,22981.04,0,787,26,2,0
30,7045.14,26063.78,1,725,19,4,1
57,9879.5,7894.34,0,564,8,2,0
59,7768.55,9324.0,1,641,16,6,1
26,6127.82,6196.95,0,577,26,7,0
67,6189.51,13361.86,0,738,14,7,0
44,6706.83,18264.51,0,456,1,2,0
19,6517.86,21911.34,0,721,29,6,0
22,5562.38,14468.34,0,550,3,2,0
46,5208.4,12761.07,0,829,18,7,0
54,4874.81,16062.31,0,626,16,7,0
55,3492.07,9154.0,1,396,4,1,1
36,4438.65,29626.77,0,812,6,2,0
25,1614.09,3746.37,0,515,17,5,0
65,4803.32,16293.18,0,431,20,2,0
62,3022.82,29165.24,0,559,21,7,1
18,2792.82,15047.6,0,424,26,1,1
39,5359.79,13669.73,0,381,6,1,0
69,7784.0,12497.88,1,582,16,4,1
34,6836.63,13737.26,0,358,6,6,0
24,1859.0,24609.94,0,843,3,3,0
42,3020.74,1000.0,0,460,7,0,0
62,6881.54,25734.04,0,583,12,0,0
21,3035.03,5032.3,0,405,3,2,0
53,4550.73,13133.43,1,404,5,4,1
23,6100.1,11995.29,1,738,24,2,1
48,3063.31,19119.87,0,527,4,0,1
36,5210.75,3813.13,0,881,29,6,0
61,2331.95,18235.21,0,617,11,7,1
56,3797.26,29170.17,0,763,3,6,0
44,5639.56,5457.78,0,898,23,6,0
27,1814.01,16327.94,0,771,28,1,0
43,5880.95,10366.12,0,355,8,7,0
36,4960.72,17981.21,0,312,3,3,0
56,6104.98,15134.03,0,739,18,7,0
20,5447.83,10509.59,0,317,23,4,0
62,7728.28,18415.11,0,412,13,1,0
30,5250.45,27630.44,0,528,4,3,0
67,4141.19,13663.67,1,470,17,4,1
45,5244.6,20038.31,0,594,9,4,0
37,6086.6,5947.09,0,488,24,0,0
45,5097.72,8304.95,0,725,18,1,0
25,5081.18,18306.84,1,378,11,4,1
58,3596.02,25388.81,0,481,17,5,0
56,3674.2,17489.29,0,798,16,6,0
18,2194.79,12808.59,0,370,29,4,1
20,8499.15,14995.04,0,547,23,3,0
30,2512.27,6247.15,1,445,10,0,1
45,3614.19,19231.61,0,595,2,2,0
66,3563.19,21176.33,1,881,22,6,1
42,6789.85,11835.37,1,769,16,0,1
50,4410.1,11709.7,1,805,0,2,1
55,7495.48,16861.15,0,492,14,1,0
23,3653.02,11942.96,0,367,27,1,0
61,5557.99,14537.07,0,793,8,4,0
62,3329.31,29698.05,1,351,14,5,1
49,9290.3,13270.82,0,662,27,1,0
62,2624.8,12491.62,0,773,23,7,0
64,5619.64,10467.21,0,820,27,4,0
38,6267.55,20209.34,0,730,28,6,0
33,5827.6,13731.43,1,597,2,0,1
38,4629.42,10454.39,0,734,21,1,0
28,4740.36,24249.13,1,497,26,7,1
54,5087.62,24937.22,0,427,18,0,1
53,4706.0,10797.04,1,831,12,0,1
52,6927.76,1934.22,0,710,11,5,0
36,9421.05,22052.6,0,364,19,1,0
37,3885.02,10207.59,1,540,0,0,1
35,2260.39,20534.38,0,668,20,5,0
64,4823.44,1209.27,1,835,16,5,0
58,10159.42,21248.18,0,683,12,1,0
66,3392.65,6521.8,0,730,0,5,0
31,8278.23,20115.35,0,382,9,1,0
32,8355.4,15099.91,0,873,14,7,0
48,3892.82,8322.42,0,585,26,1,0
18,6137.97,12150.75,0,833,26,2,0
20,8256.79,19804.23,0,758,29,0,0
33,4241.74,15741.26,0,511,6,7,0
40,4592.84,19090.89,1,425,27,3,1
28,3836.64,28835.08,1,712,21,1,1
29,2970.49,4050.31,0,798,17,0,0
27,3701.44,26320.49,0,724,15,6,0
49,2552.12,15730.49,0,853,13,5,0
33,5068.17,8708.51,0,842,26,4,0
25,3460.05,5687.8,1,457,27,1,1
55,5467.57,13676.16,1,411,17,5,1
29,1888.21,21451.55,0,701,26,5,0
41,5661.76,14107.16,1,421,6,5,1
45,6667.06,25578.08,0,572,16,5,0
25,1012.53,4841.77,1,593,28,5,1
45,5748.11,14915.38,0,697,17,1,0
53,7455.34,6233.25,0,770,11,6,0
43,2580.72,17545.42,0,506,7,3,1
25,8345.14,21208.21,0,409,21,2,0
67,5838.04,12054.67,0,739,29,5,0
45,3589.98,1000.0,1,577,1,5,1
45,4888.46,16392.64,0,867,6,2,0
54,6116.65,18057.17,0,868,3,6,0
58,5152.01,17830.06,0,781,17,7,0
53,6077.51,23650.48,0,413,27,6,0
44,3158.65,7502.62,0,776,5,7,0
34,5338.72,19761.51,0,620,26,1,0
26,2172.57,23347.55,0,478,8,0,1
50,4777.55,2549.89,0,518,26,4,0
37,3192.18,17237.56,0,827,8,4,0
30,3528.94,11470.74,1,791,13,0,1
45,7472.19,14429.34,1,360,7,1,1
65,7182.62,17433.74,0,353,18,4,0
46,6218.28,11589.4,0,837,2,6,0
30,2815.37,10270.04,0,364,17,2,0
63,4367.18,15239.07,0,885,4,0,0
52,7426.2,7389.28,0,470,13,6,0
23,5283.43,7399.22,0,572,27,3,0
35,9638.66,19755.61,0,834,29,1,0
68,5786.64,6958.44,0,690,3,0,0
22,5384.1,19664.19,0,626,6,4,0
64,4381.77,18238.14,1,407,19,1,1
42,5267.08,2919.35,1,461,24,2,1
19,4695.06,10257.05,0,751,27,1,0
27,6416.22,23358.77,0,505,11,1,0
47,6913.4,8131.84,1,889,1,2,1
67,3428.02,11749.17,1,315,10,5,1
62,2337.53,18234.43,0,626,13,2,0
22,1327.59,20483.73,0,301,21,6,1
50,6015.98,13239.23,0,309,22,1,0
18,2793.27,10817.43,0,733,15,7,0
35,1000.0,24956.59,0,424,19,2,1
49,5777.16,27172.3,0,380,28,5,1
64,9986.0,21852.01,0,784,5,6,0
66,4987.86,15597.23,0,449,22,7,0
28,6676.98,9342.14,1,639,3,7,1
38,5163.66,9186.89,0,428,14,0,0
43,4802.22,18657.6,0,737,23,2,0
42,6838.15,17928.79,0,800,24,2,0
39,4419.45,24811.19,0,357,0,1,1
44,5534.78,19553.15,1,497,6,6,1
66,5643.4,4478.44,0,510,24,0,0
30,3663.82,22363.63,0,344,11,3,1
50,6984.08,8013.58,0,396,9,3,0
51,4650.08,12312.2,0,578,4,4,0
58,3488.51,16751.4,1,834,11,2,1
52,6073.02,28969.67,0,709,17,2,0
18,3203.06,36769.43,0,760,9,0,0
38,5056.36,19247.06,0,690,5,5,0
65,4981.76,13717.62,0,343,27,3,0
23,7171.79,18741.54,1,326,11,4,1
45,5949.4,21213.59,1,396,6,0,1
34,4949.95,12755.33,0,847,17,2,0
22,6635.53,27566.48,0,866,1,3,0
48,7780.42,16610.5,1,518,9,6,1
22,6115.62,18484.2,1,484,14,4,1
55,5020.71,19661.47,0,368,29,1,0
20,2376.33,17951.11,0,429,11,3,1
40,2869.77,20872.58,0,866,25,4,0
54,4389.55,10679.23,1,898,16,0,0
54,3780.98,11091.89,0,633,3,1,0
27,4626.06,7298.92,0,453,6,4,0
27,5113.3,18076.51,1,846,29,4,1
36,6059.39,20452.56,0,378,8,7,0
34,4859.0,18204.41,0,878,18,7,0
38,5973.0,26721.45,0,712,27,7,0
31,5128.95,14960.83,0,845,26,2,0
26,1049.07,19681.19,0,468,22,5,1
63,3121.33,7358.09,0,882,6,3,0
18,4711.82,12290.3,0,814,22,2,0
68,2580.61,19868.76,0,613,1,6,1
62,6199.86,20943.71,1,331,5,1,1
30,8061.5,12942.23,1,586,17,5,1
21,7437.52,14498.81,0,893,5,4,0
18,4573.11,4374.88,0,342,12,2,0
66,7981.45,12500.8,0,300,25,7,0
57,5297.33,21232.68,0,872,18,5,0
49,4325.83,19026.44,0,569,29,6,0
51,3773.19,18504.66,0,479,1,3,1
45,4395.06,15348.42,0,817,11,6,0
48,4223.65,15049.44,0,402,14,1,0
25,5340.83,10377.75,0,309,13,0,0
56,5321.15,19891.8,0,882,5,2,0
43,5006.09,17946.81,0,389,17,7,0
51,5873.88,18444.13,0,525,4,1,0
20,7381.29,11317.76,0,425,17,0,0
67,6899.11,1000.0,1,508,2,7,1
29,2030.2,22680.07,1,396,2,7,1
18,1000.0,11648.14,0,373,21,7,1
61,6868.64,8960.57,0,490,21,2,0
22,2266.24,19854.35,0,355,9,1,1
47,4550.47,12255.91,0,852,18,7,0
47,2659.77,22419.55,0,331,2,6,1
34,1396.04,19319.04,1,826,28,1,1
65,6082.93,19784.99,0,873,11,5,0
64,6518.31,5438.31,1,583,28,6,1
40,3846.98,23483.61,0,793,15,2,0
32,1000.0,16828.75,0,486,16,7,0
54,3907.51,12415.06,0,797,6,1,0
38,5783.61,16003.72,0,741,12,4,0
31,2042.18,2566.35,0,429,23,2,0
19,5366.72,17860.57,0,591,1,1,0
28,4969.38,7794.4,0,413,3,5,0
68,6158.58,5531.31,1,498,9,7,1
56,5239.16,4343.49,0,312,6,0,0
55,3053.86,22788.82,1,570,23,7,1
51,7393.14,10595.16,1,514,16,0,1
55,4682.94,25736.09,1,743,19,4,1
67,4945.39,11249.39,0,811,5,2,0
51,3133.46,3048.49,0,746,18,5,0
35,4113.44,7184.33,1,373,4,1,1
47,3230.39,23650.68,0,836,9,1,0
32,4654.11,13908.71,0,400,8,0,0
44,8423.42,11161.99,0,475,26,5,0
68,2256.2,16120.13,0,726,12,6,0
51,1772.88,18512.48,0,416,18,4,1
69,7942.34,22821.79,0,465,20,0,0
55,4581.35,25139.49,0,340,23,0,1
50,3661.85,12481.62,1,728,5,4,1
41,7079.81,5717.67,0,643,3,2,0
32,3788.77,12105.74,1,723,23,1,1
47,8652.02,16821.96,0,665,26,2,0
59,6355.85,8253.69,1,419,2,5,1
68,4024.18,8299.94,0,528,2,6,0
34,9314.62,17406.52,1,429,3,7,1
22,3788.57,14659.43,0,651,24,3,0
46,6484.19,15229.58,1,617,4,3,1
21,5598.59,9690.53,0,636,7,3,0
27,7603.48,13387.2,1,572,15,4,1
34,8123.02,8530.37,1,416,21,0,1
27,5064.01,21231.39,0,667,2,6,0
34,3493.16,22246.75,0,393,23,2,1
37,5919.94,2076.68,1,467,11,7,1
41,3644.57,8493.42,0,640,24,1,0
22,9026.77,4524.3,1,451,7,3,1
51,5273.07,10449.83,0,885,12,2,0
23,4269.36,14415.93,0,573,3,3,0
19,5369.36,4852.48,1,853,13,6,0
30,2305.75,8546.98,0,795,13,3,0
60,3056.77,7972.3,1,400,12,1,1
60,7400.83,16450.87,0,856,26,7,0
65,3686.21,15485.41,0,381,5,5,1
28,2906.18,9947.84,0,828,16,5,0
68,6073.31,16237.75,0,372,3,6,0
64,7371.41,11173.24,0,313,7,5,0
40,6437.91,13098.41,0,732,16,4,0
33,6992.1,26714.16,0,456,2,0,0
48,3486.41,24383.23,0,431,16,4,1
28,2156.38,5902.93,1,637,8,2,1
33,8002.67,20808.13,0,703,1,4,0
25,4354.64,20679.78,0,675,24,2,0
21,4498.33,6962.16,0,858,12,2,0
57,7656.39,20731.44,0,406,19,0,0
21,6112.46,25765.52,0,564,1,1,1
42,5911.78,7142.19,0,504,19,7,0
20,9330.0,8577.48,0,378,27,6,0
49,3712.96,22123.63,0,454,10,0,1
20,6855.68,16900.47,0,546,26,6,0
44,5114.03,18860.33,1,830,25,5,0
46,5537.18,17384.12,0,837,21,5,0
49,8056.94,17734.87,0,453,14,4,0
67,6015.67,5714.7,0,453,10,2,0
68,6076.59,22331.22,0,391,22,3,0
36,7145.01,23187.13,1,732,2,3,1
38,4270.09,13394.26,0,637,2,6,0
22,3321.58,14695.66,0,779,27,2,0
35,2910.38,4282.25,0,430,25,6,0
45,1067.29,18599.78,0,749,11,0,0
59,9112.41,19004.4,0,572,23,1,0
39,2793.58,14564.66,0,887,4,7,0
38,4557.49,22870.47,0,476,19,0,1
23,4446.37,12661.46,0,348,6,2,0
18,5614.81,18952.24,0,866,6,2,0
22,6631.47,7862.35,0,654,12,1,0
58,6720.95,14835.13,0,607,8,6,0
29,3833.85,13779.52,0,345,24,4,0
43,4665.76,16577.16,1,601,20,4,1
63,5565.16,12413.31,0,707,12,1,0
51,4502.62,14079.69,1,488,11,4,1
66,8214.69,20782.33,0,428,12,3,0
31,5981.95,11942.65,0,860,23,4,0
43,6469.76,3753.96,0,836,9,4,0
62,6325.76,27247.09,0,565,0,4,1
44,7346.95,24670.18,0,417,24,3,0
26,5362.04,5954.16,0,763,7,6,0
43,2406.34,19827.95,0,443,21,4,1
64,5799.38,11479.18,1,741,15,5,1
39,3697.29,16844.41,0,499,12,3,1
64,3942.77,17059.57,0,456,2,1,1
47,6172.73,13359.15,0,786,2,0,0
60,7476.57,9513.64,0,433,23,1,0
65,5042.54,10166.21,0,447,4,0,0
34,5617.67,8586.66,0,635,25,7,0
43,8404.43,9177.24,1,370,10,1,1
53,5481.51,14529.75,1,532,29,5,1
18,10203.37,9989.68,0,633,6,0,0
25,6131.02,19774.36,0,389,20,0,0
66,1478.47,25410.72,1,633,23,2,1
52,6506.68,10939.63,0,498,9,0,0
69,5762.32,16675.83,0,460,9,0,0
32,7579.51,18497.8,0,837,19,2,0
64,6346.36,18304.02,0,420,1,4,1
39,4723.09,15531.69,0,600,2,4,0
31,2551.4,20198.78,0,874,7,2,0
43,4581.95,18375.74,0,735,10,3,0
45,3298.96,6336.36,0,367,12,7,0
40,3838.95,21084.09,0,758,6,0,0
31,6177.16,21211.04,0,813,12,0,0
41,8339.81,9657.0,0,697,1,2,0
19,5789.34,15265.56,0,585,5,2,0
62,2608.23,19783.3,0,860,8,3,0
43,5889.21,13534.8,0,439,19,5,0
31,7393.26,22510.85,0,855,24,4,0
68,3780.43,31547.11,1,889,1,1,1
24,4731.97,9498.1,1,581,17,5,1
20,5029.38,5332.69,0,877,15,6,0
64,3430.2,17126.73,0,756,24,4,0
40,6296.56,20050.94,0,386,11,0,0
63,4758.1,13383.94,0,378,6,6,0
60,5839.06,25172.82,1,504,6,5,1
64,3225.02,5629.76,0,636,16,2,0
62,4125.08,19850.43,0,553,12,3,0
35,6444.76,10758.97,0,603,10,4,0
55,4254.33,27035.65,0,679,5,3,0
